Strain.Number,Strain.Name,Generations.Selection,Day,value,drug.pressure
1,AM ,24,1,0.25,yes
1,AM ,48,2,0.19,yes
1,AM ,72,3,0.75,yes
1,AM ,96,6,0.5,yes
1,AM ,120,7,0.25,yes
1,AM ,144,8,0.19,yes
1,AM ,168,9,0.25,yes
1,AM ,192,10,0.25,yes
1,AM ,216,11,0.19,yes
1,AM ,240,12,1.5,yes
1,AM ,264,13,0.25,yes
1,AM ,288,14,0.25,yes
1,AM ,312,15,0.25,yes
1,AM ,336,16,0.38,yes
1,AM ,360,17,0.125,yes
1,AM ,384,18,16,yes
1,AM ,408,19,12,yes
1,AM ,432,20,12,yes
2,JC,24,1,0.25,yes
2,JC,48,2,0.38,yes
2,JC,72,3,0.38,yes
2,JC,96,6,0.5,yes
2,JC,120,7,0.38,yes
2,JC,144,8,0.094,yes
2,JC,168,9,2,yes
2,JC,192,10,0.125,yes
2,JC,216,11,0.38,yes
2,JC,240,12,0.25,yes
2,JC,264,13,0.38,yes
2,JC,288,14,0.25,yes
2,JC,312,15,0.25,yes
2,JC,336,16,0.25,yes
2,JC,360,17,0.5,yes
2,JC,384,18,0.5,yes
2,JC,408,19,0.25,yes
2,JC,432,20,0.38,yes
3,CBW2-BD,24,1,0.25,yes
3,CBW2-BD,48,2,0.25,yes
3,CBW2-BD,72,3,0.75,yes
3,CBW2-BD,96,6,0.5,yes
3,CBW2-BD,120,7,0.5,yes
3,CBW2-BD,144,8,0.38,yes
3,CBW2-BD,168,9,0.38,yes
3,CBW2-BD,192,10,0.38,yes
3,CBW2-BD,216,11,0.5,yes
3,CBW2-BD,240,12,0.5,yes
3,CBW2-BD,264,13,0.125,yes
3,CBW2-BD,288,14,0.38,yes
3,CBW2-BD,312,15,0.38,yes
3,CBW2-BD,336,16,0.38,yes
3,CBW2-BD,360,17,0.5,yes
3,CBW2-BD,384,18,0.5,yes
3,CBW2-BD,408,19,0.5,yes
3,CBW2-BD,432,20,0.38,yes
4,CBW1,24,1,0.25,yes
4,CBW1,48,2,0.25,yes
4,CBW1,72,3,0.5,yes
4,CBW1,96,6,0.38,yes
4,CBW1,120,7,0.38,yes
4,CBW1,144,8,0.38,yes
4,CBW1,168,9,0.38,yes
4,CBW1,192,10,0.38,yes
4,CBW1,216,11,0.25,yes
4,CBW1,240,12,0.25,yes
4,CBW1,264,13,0.5,yes
4,CBW1,288,14,0.5,yes
4,CBW1,312,15,0.38,yes
4,CBW1,336,16,0.25,yes
4,CBW1,360,17,0.5,yes
4,CBW1,384,18,1,yes
4,CBW1,408,19,0.5,yes
4,CBW1,432,20,0.75,yes
5,VA,24,1,0.25,yes
5,VA,48,2,0.38,yes
5,VA,72,3,0.38,yes
5,VA,96,6,0.5,yes
5,VA,120,7,0.125,yes
5,VA,144,8,0.38,yes
5,VA,168,9,0.25,yes
5,VA,192,10,0.38,yes
5,VA,216,11,0.38,yes
5,VA,240,12,0.38,yes
5,VA,264,13,0.38,yes
5,VA,288,14,0.19,yes
5,VA,312,15,0.125,yes
5,VA,336,16,0.125,yes
5,VA,360,17,0.19,yes
5,VA,384,18,1,yes
5,VA,408,19,NA,yes
5,VA,432,20,0.38,yes
6,PAP,24,1,0.25,yes
6,PAP,48,2,0.25,yes
6,PAP,72,3,0.75,yes
6,PAP,96,6,0.5,yes
6,PAP,120,7,0.38,yes
6,PAP,144,8,0.19,yes
6,PAP,168,9,0.38,yes
6,PAP,192,10,0.38,yes
6,PAP,216,11,0.25,yes
6,PAP,240,12,0.38,yes
6,PAP,264,13,0.38,yes
6,PAP,288,14,48,yes
6,PAP,312,15,6,yes
6,PAP,336,16,4,yes
6,PAP,360,17,6,yes
6,PAP,384,18,32,yes
6,PAP,408,19,NA,yes
6,PAP,432,20,6,yes
7,JA,24,1,0.25,yes
